trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
26,True,"{'a': 0, 'e': 0}",20,0,-25.969395589197024,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
27,True,"{'a': 0, 'e': 0}",20,4,15.764035196345617,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,1,17.706085255698625,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,8,13.594582471586538,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",25,0,10.201729728966543,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
31,True,"{'a': 0, 'e': 0}",30,13,5.976704597845762,"{0: 13, 1: 4, 2: 0, 3: 0, 4: 0}",1
32,True,"{'a': 0, 'e': 0}",20,0,22.44536872127628,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
33,True,"{'a': 0, 'e': 0}",30,12,18.107101774290058,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
34,True,"{'a': 0, 'e': 0}",25,15,22.422199249809005,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'a': 0, 'e': 0}",30,8,15.76959848363985,"{0: 19, 1: 3, 2: 0, 3: 0, 4: 0}",1
36,True,"{'a': 0, 'e': 0}",20,13,6.376267357321529,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,True,"{'a': 0, 'e': 0}",35,18,24.98840362622044,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,True,"{'a': 0, 'e': 0}",20,9,14.177315932104683,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
39,True,"{'a': 0, 'e': 0}",25,12,24.82636991438764,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'a': 0, 'e': 0}",20,10,12.98847119701493,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,True,"{'a': 0, 'e': 0}",35,0,1.213093496977935,"{0: 27, 1: 8, 2: 0, 3: 0, 4: 0}",0
42,True,"{'a': 0, 'e': 0}",25,6,-5.417405891108215,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 0}",1
43,True,"{'a': 0, 'e': 0}",30,14,18.415635915657212,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
44,True,"{'a': 0, 'e': 0}",20,5,22.23551444526627,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
45,True,"{'a': 0, 'e': 0}",30,22,-0.012442959180199775,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
46,True,"{'a': 0, 'e': 0}",20,13,13.370191055406659,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,True,"{'a': 0, 'e': 0}",30,0,6.427653616928293,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
48,True,"{'a': 0, 'e': 0}",20,8,18.457405570365314,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,True,"{'a': 0, 'e': 0}",20,0,26.107347061669216,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
50,True,"{'a': 0, 'e': 0}",25,0,25.27567066177845,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
